日期,鉅亨_每日原始總分,鉅亨_左側情緒分類,兆豐_每日原始總分,兆豐_左側情緒分類,PTT_每日原始總分,PTT_左側情緒分類
2020-09-22,-26.0,1.0,-3.0,1.0,2,-1
2020-09-23,44.0,-1.0,4.0,-1.0,1,-1
2020-09-24,-6.0,1.0,6.0,-1.0,1,-1
2020-09-25,20.0,-1.0,6.0,-1.0,-6,1
2020-09-26,0.0,0.0,2.0,-1.0,-15,1
2020-09-27,6.0,-1.0,,,2,-1
2020-09-28,18.0,-1.0,3.0,-1.0,-3,1
2020-09-29,26.0,-1.0,7.0,-1.0,1,-1
2020-09-30,8.0,-1.0,1.0,-1.0,4,-1
2020-10-01,16.0,-1.0,,,0,0
2020-10-02,-2.0,1.0,,,2,-1
2020-10-03,4.0,-1.0,,,0,0
2020-10-04,0.0,0.0,,,0,0
2020-10-05,22.0,-1.0,1.0,-1.0,-2,1
2020-10-06,24.0,-1.0,5.0,-1.0,0,0
2020-10-07,4.0,-1.0,4.0,-1.0,0,0
2020-10-08,42.0,-1.0,5.0,-1.0,1,-1
2020-10-09,14.0,-1.0,,,1,-1
2020-10-10,8.0,-1.0,,,1,-1
2020-10-11,0.0,0.0,,,1,-1
2020-10-12,30.0,-1.0,10.0,-1.0,1,-1
2020-10-13,40.0,-1.0,4.0,-1.0,3,-1
2020-10-14,2.0,-1.0,1.0,-1.0,1,-1
2020-10-15,36.0,-1.0,10.0,-1.0,1,-1
2020-10-16,12.0,-1.0,3.0,-1.0,7,-1
2020-10-17,12.0,-1.0,0.0,0.0,2,-1
2020-10-18,4.0,-1.0,,,4,-1
2020-10-19,18.0,-1.0,7.0,-1.0,2,-1
2020-10-20,16.0,-1.0,5.0,-1.0,3,-1
2020-10-21,36.0,-1.0,2.0,-1.0,2,-1
2020-10-22,26.0,-1.0,2.0,-1.0,0,0
2020-10-23,14.0,-1.0,3.0,-1.0,2,-1
2020-10-24,6.0,-1.0,,,1,-1
2020-10-25,4.0,-1.0,,,1,-1
